Species Name,Common name,Clade,Order,Family,ID,Accession
Chloropsis hardwickii,Orange-bellied Leafbird,Aves,Passeriformes,Irenidae,B10K-IZ-033-78,WEIW00000000
Pomatorhinus ruficollis,Streak-breasted Scimitar Babbler,Aves,Passeriformes,Timaliidae,B10K-IZ-033-81,VZSW00000000
Nothocercus julius,Tawny-breasted Tinamou,Aves,Tinamiformes,Tinamidae,B10K-Nothocercus-julius,VZSV00000000
Nothocercus nigrocapillus,Hooded Tinamou,Aves,Tinamiformes,Tinamidae,B10K-Nothocercus-nigrocapillus,WBNA00000000
Nothoprocta ornata,Ornate Tinamou,Aves,Tinamiformes,Tinamidae,B10K-Nothoprocta-ornata,VZSH00000000
Nothoprocta pentlandii,Andean Tinamou,Aves,Tinamiformes,Tinamidae,B10K-Nothoprocta-pentlandii,VZSG00000000
Chionis minor,Black-faced Sheathbill,Aves,Charadriiformes,Chionidae,B10K-UC-030-51,VZSF00000000
Promerops cafer,Cape Sugarbird,Aves,Passeriformes,Promeropidae,B10K-UC-030-53,VZSE00000000
Coturnix japonica,Japanese Quail,Aves,Galliformes,Phasianidae,NCBI-001,GCA_001577835.1
Sturnus vulgaris,Common Starling,Aves,Passeriformes,Sturnidae,NCBI-002,GCA_001447265.1
Zosterops lateralis melanops,Silver-eye,Aves,Passeriformes,Zosteropidae,NCBI-003,GCA_001281735.1
Meleagris gallopavo,Wild Turkey,Aves,Galliformes,Phasianidae,NCBI-004,GCA_000146605.3
Apteryx australis,Northern Brown Kiwi,Aves,Apterygiformes,Apterygidae,NCBI-005,GCA_001039765.2
Falco cherrug,Saker Falcon,Aves,Falconiformes,Falconidae,NCBI-006,GCA_000337975.1
Zonotrichia albicollis,White-throated Sparrow,Aves,Passeriformes,Emberizidae,NCBI-007,GCA_000385455.1
Lepidothrix coronata,Blue-crowned Manakin,Aves,Passeriformes,Pipridae,NCBI-008,GCA_001604755.1
Anser cygnoides,Swan Goose [Domestic],Aves,Anseriformes,Anatidae,NCBI-009,GCA_000971095.1
Setophaga coronata,Yellow-rumped Warbler,Aves,Passeriformes,Parulidae,NCBI-010,GCA_001746935.1
Gallus gallus,Chicken (Red Junglefowl),Aves,Galliformes,Phasianidae,NCBI-011,GCA_000002315.2
Taeniopygia guttata,Zebra Finch,Aves,Passeriformes,Estrildidae,NCBI-013,GCA_000151805.2
Aquila chrysaetos canadensis,Golden Eagle,Aves,Accipitriformes,Accipitridae,NCBI-014,GCA_000766835.1
Calidris pugnax,Ruff,Aves,Charadriiformes,Scolopacidae,NCBI-015,GCA_001431845.1
Tympanuchus cupido,Greater Prairie Chicken,Aves,Galliformes,Phasianidae,NCBI-016,GCA_001870855.1
Pseudopodoces humilis,Groundpecker,Aves,Passeriformes,Paridae,NCBI-017,GCA_000331425.1
Serinus canaria,Atlantic Canary,Aves,Passeriformes,Fringillidae,NCBI-018,GCA_000534875.1
Patagioenas fasciata,Band-tailed Pigeon,Aves,Columbiformes,Columbidae,NCBI-019,GCA_002029285.1
Corvus cornix cornix,Carrion Crow,Aves,Passeriformes,Corvidae,NCBI-020,GCA_000738735.2
Passer domesticus,House Sparrow,Aves,Passeriformes,Passeridae,NCBI-021,GCA_001700915.1
Parus major,Great Tit,Aves,Passeriformes,Paridae,NCBI-022,GCA_001522545.2
Colinus virginianus,Northern Bobwhite,Aves,Galliformes,Odontophoridae,NCBI-024,GCA_000599465.2
Callipepla squamata,Scaled Quail,Aves,Galliformes,Odontophoridae,NCBI-025,GCA_002218305.1
Sporophila hypoxantha,Tawny-bellied Seedeater,Aves,Passeriformes,Thraupidae,NCBI-026,GCA_002167245.1
Urile pelagicus,Pelagic Cormorant,Aves,Pelecaniformes,Phalacrocoracidae,NCBI-027,GCA_002173435.1
Nannopterum auritus,Double-crested Cormorant,Aves,Pelecaniformes,Phalacrocoracidae,NCBI-028,GCA_002173455.1
Nannopterum harrisi,Flightless Cormorant,Aves,Pelecaniformes,Phalacrocoracidae,NCBI-029,GCA_002173475.1
Nannopterum brasilianus,Neotropic Cormorant,Aves,Pelecaniformes,Phalacrocoracidae,NCBI-030,GCA_002174335.1
Lonchura striata,White-rumped Munia,Aves,Passeriformes,Estrildidae,NCBI-031,GCA_002197715.1
Anas zonorhyncha,Chinese Spot-billed Duck,Aves,Anseriformes,Anatidae,NCBI-032,GCA_002224875.1
Phylloscopus trochilus,Willow Warbler,Aves,Passeriformes,Phylloscopidae,NCBI-033,GCA_002305835.1
Saxicola maurus,Eastern Stonechat,Aves,Passeriformes,Muscicapidae,NCBI-034,PRJEB19452(ENA Accession)
Uria lomvia,Brunnich's Guillemot,Aves,Charadriiformes,Alcidae,NCBI-035,GCA_002289315.1
Strix occidentalis caurina,Spotted Owl,Aves,Strigiformes,Strigidae,NCBI-036,GCA_002372975.1
Anas platyrhynchos,Peking Duck,Aves,Anseriformes,Anatidae,NCBI-037,GCA_000355885.1
Agapornis roseicollis,Rosy-faced Lovebird,Aves,Psittaciformes,Psittaculidae,OUT-0001,GCA_002631895.1
Oreotrochilus melanogaster,Black-breasted Hillstar,Aves,Caprimulgiformes,Trochilidae,OUT-0002,VZUB00000000
Alca torda,Razorbill,Aves,Charadriiformes,Alcidae,OUT-0003,VZSD00000000
Steatornis caripensis,Oilbird,Aves,Caprimulgiformes,Steatornithidae,OUT-0004,VZSC00000000
Caloenas nicobarica,Nicobar Pigeon,Aves,Columbiformes,Columbidae,OUT-0007,VZSB00000000
Melospiza melodia,Song Sparrow,Aves,Passeriformes,Emberizidae,OUT-0008,VZSA00000000
Rhegmatorhina hoffmannsi,White-breasted Antbird,Aves,Passeriformes,Thamnophilidae,OUT-0010,VZSN00000000
Loxia curvirostra,Red Crossbill,Aves,Passeriformes,Fringillidae,OUT-0011,VZSM00000000
Junco hyemalis,Dark-eyed Junco,Aves,Passeriformes,Emberizidae,OUT-0012,GCA_003829775.1
Sylvia atricapilla,Eurasian Blackcap,Aves,Passeriformes,Sylviidae,OUT-0013,VZSL00000000
Erithacus rubecula,European Robin,Aves,Passeriformes,Muscicapidae,OUT-0015,VZSK00000000
Limosa lapponica,Bar-tailed Godwit,Aves,Charadriiformes,Scolopacidae,OUT-0016,LXVZ00000000.1
Passerina amoena,Lazuli Bunting,Aves,Passeriformes,Cardinalidae,OUT-0017,WBNP00000000
Pheucticus melanocephalus,Black-headed Grosbeak,Aves,Passeriformes,Cardinalidae,OUT-0018,VZSJ00000000
Uria aalge,Common Guillemot,Aves,Charadriiformes,Alcidae,OUT-0019,VZUE00000000
Cepphus grylle,Black Guillemot,Aves,Charadriiformes,Alcidae,OUT-0020,VZUD00000000
Rissa tridactyla,Black-legged Kittiwake,Aves,Charadriiformes,Laridae,OUT-0021,VZUC00000000
Aphelocoma coerulescens,Florida Scrub Jay,Aves,Passeriformes,Corvidae,OUT-0022,VZSI00000000
Poecile atricapillus,Black-capped Chickadee,Aves,Passeriformes,Paridae,OUT-0023,VZSS00000000
