"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ID","significant","diffexpressed","ERVK_related"
"TAEGUT_R00003",134.713889490402,10.1508116296775,0.740516205622725,13.7077508265215,9.1242614839983e-43,1.4501492918568e-39,"TAEGUT_R00003","significant","UP",NA
"TAEGUT_R01321",2.22225439993181,3.80718389456057,0.979385397089242,3.88731944122877,0.000101357330114561,0.000405089480290215,"TAEGUT_R01321","significant","UP",NA
"TAEGUT_R12812",236.197363429791,0.164598147161157,0.408483371130481,0.402949443708395,0.686985416790743,0.778409331572781,"TAEGUT_R12812","NS.",NA,NA
"TAEGUT_R09342",35.0125855401642,0.394614529644707,0.880965847716468,0.447933970048418,0.654200851241473,0.75286015364622,"TAEGUT_R09342","NS.",NA,NA
"TAEGUT_R14428",67.3028686798608,1.88747869040228,0.947711914534177,1.99161650439946,0.0464131511075273,0.0909704712651293,"TAEGUT_R14428","NS.",NA,NA
"TAEGUT_R05521",741.381107081061,0.204505065702426,0.219626267470417,0.931150303913317,0.351775820468182,0.477819845307968,"TAEGUT_R05521","NS.",NA,NA
"TAEGUT_R08200",258.950637236921,-0.188351093925665,0.516264012274052,-0.364834831496412,0.715234702801438,0.801654692749708,"TAEGUT_R08200","NS.",NA,NA
"TAEGUT_R12454",13.9794490277942,1.96921978203312,0.59990601966245,3.28254712820042,0.00102873788053134,0.00324620927489969,"TAEGUT_R12454","significant","UP",NA
"TAEGUT_R05526",209.527375545382,2.10794875943482,0.902096237064933,2.33672270521077,0.0194536071562161,0.0429023121743008,"TAEGUT_R05526","significant","UP",NA
"TAEGUT_R16925",901.060920845541,2.07803625812779,0.911313973088443,2.28026379435983,0.0225920477568711,0.048940883100755,"TAEGUT_R16925","significant","UP",NA
"TAEGUT_R11051",7871.77650159477,-3.07689566903237,0.494071346731712,-6.22763430704102,4.73530759472981e-10,5.65508994656774e-09,"TAEGUT_R11051","significant","DOWN",NA
"TAEGUT_R09790",118.698540246335,-1.3769372690736,0.655185906182736,-2.10159781533757,0.0355885214037783,0.0724612234667299,"TAEGUT_R09790","NS.",NA,NA
"TAEGUT_R05527",1339.49426652325,-2.83417728826117,0.462689868446697,-6.12543624042564,9.04354810263249e-10,1.00982757267803e-08,"TAEGUT_R05527","significant","DOWN",NA
"TAEGUT_R03326",23.8093151695408,-0.182690963025062,0.806458242354817,-0.226534931916145,0.820785393548368,0.879306973950054,"TAEGUT_R03326","NS.",NA,NA
"TAEGUT_R14260",7.66901314624546,-3.33460244101361,2.32394056909174,-1.43489144488616,0.151318033953095,0.244550253669471,"TAEGUT_R14260","NS.",NA,NA
"TAEGUT_R05524",64.447052987461,0.608358500949364,0.968837534925129,0.627926230166523,0.530052266953241,0.649229211121357,"TAEGUT_R05524","NS.",NA,NA
"TAEGUT_R11370",182.235047776254,-0.197681782487233,0.751438303348953,-0.263071208382937,0.792495694924754,0.859021193157426,"TAEGUT_R11370","NS.",NA,NA
"TAEGUT_R08146",13.8063323496485,3.17441381587983,1.01806372611122,3.11808950114094,0.00182027517075049,0.00538153589467576,"TAEGUT_R08146","significant","UP",NA
"TAEGUT_R09343",13.6935801533902,1.17256363940302,0.715853012357089,1.63799497824577,0.101422741349381,0.175832422453953,"TAEGUT_R09343","NS.",NA,NA
"TAEGUT_R00005",3.62495170015576,0.984949780990955,1.01044145140729,0.974771749139123,0.329673493533742,0.455321375094179,"TAEGUT_R00005","NS.",NA,NA
"TAEGUT_R08145",375.204552550412,-2.67547658917447,0.369079141400027,-7.24905931834997,4.19676072945465e-13,9.09552507183626e-12,"TAEGUT_R08145","significant","DOWN",NA
"TAEGUT_R11039",93.0499748237685,1.53013957351474,0.34893598771179,4.38515838835915,1.15901414580874e-05,5.74745652336565e-05,"TAEGUT_R11039","significant","UP",NA
"TAEGUT_R08144",41.3212919353524,-0.269256467608455,0.593070155881332,-0.454004412358814,0.649825650995931,0.749847217799758,"TAEGUT_R08144","NS.",NA,NA
"TAEGUT_R04528",1054.82686921734,2.62845184908991,0.234127724335248,11.2265724042413,3.01966581195182e-29,9.44115842058116e-27,"TAEGUT_R04528","significant","UP",NA
"TAEGUT_R08143",27.0633666683092,1.92158474234462,0.69120375712742,2.78005540700553,0.00543496243800318,0.0141838538064582,"TAEGUT_R08143","significant","UP",NA
"TAEGUT_R00008",84.5467512987761,0.1576030624822,0.929704639780659,0.169519496556866,0.865388038250599,0.910653314142321,"TAEGUT_R00008","NS.",NA,NA
"TAEGUT_R03323",174.087880187544,9.43551248186057,1.6038130628587,5.88317472925577,4.02470637229192e-09,3.9383889139226e-08,"TAEGUT_R03323","significant","UP",NA
"TAEGUT_R13932",1455.47128764904,-2.08981813675171,1.4117993656211,-1.48025150573171,0.138806139670202,0.227683094957421,"TAEGUT_R13932","NS.",NA,NA
"TAEGUT_R05529",10.4012731340308,1.79540447721009,0.711014618102935,2.5251301893067,0.0115655434975724,0.0273398668301563,"TAEGUT_R05529","significant","UP",NA
"TAEGUT_R10495",59.4221301485925,-1.31730885388704,0.616018953517135,-2.13842260269091,0.0324824596257949,0.0669952925254851,"TAEGUT_R10495","NS.",NA,NA
"TAEGUT_R08141",411.628013511843,-1.4816694472198,0.544438353924436,-2.72146412268642,0.00649934396148034,0.0166137901130349,"TAEGUT_R08141","significant","DOWN",NA
"TAEGUT_R13933",1876.52380981663,0.84090537977375,0.23008254548633,3.65479866365488,0.000257383882724232,0.000942916905746554,"TAEGUT_R13933","significant",NA,NA
"TAEGUT_R08140",208.397292534171,0.40419604127685,0.885836453712938,0.456287432722692,0.648183299823196,0.748488136041329,"TAEGUT_R08140","NS.",NA,NA
"TAEGUT_R13930",567.231110300099,-1.82865205072623,0.371181252380665,-4.92657438649637,8.36837627157427e-07,5.20553399385077e-06,"TAEGUT_R13930","significant","DOWN",NA
"TAEGUT_R16166",11.3488944476102,0.25762502772726,1.11656318964983,0.230730360910478,0.817524285249015,0.877720286437132,"TAEGUT_R16166","NS.",NA,NA
"TAEGUT_R16167",29.0234653977,1.09199106417979,0.683977561561229,1.59653053776682,0.110370393376954,0.18867264431866,"TAEGUT_R16167","NS.",NA,NA
"TAEGUT_R16164",975.050421539277,0.753978585597326,0.290999691879157,2.59099444651794,0.00956990358377497,0.0232298843260476,"TAEGUT_R16164","significant",NA,NA
"TAEGUT_R03185",2141.84447017923,0.776639044614776,0.739195077307282,1.05065505501456,0.293417045425392,0.415599694790425,"TAEGUT_R03185","NS.",NA,NA
"TAEGUT_R16162",34.3948562564225,8.16789642342932,1.22756332431645,6.65374751887239,2.85722659078258e-11,4.33516511848889e-10,"TAEGUT_R16162","significant","UP",NA
"TAEGUT_R16163",0.781577142831944,2.67701462200445,1.88210631406295,1.42235037521632,0.154924561636167,0.2490073520584,"TAEGUT_R16163","NS.",NA,NA
"TAEGUT_R16160",1391.1325096817,0.584192964480559,0.95355668533424,0.612646288852548,0.540110244277956,0.65795749737284,"TAEGUT_R16160","NS.",NA,NA
"TAEGUT_R07640",518.546292944044,8.27945515107106,0.999480161832871,8.28376136639669,1.19344635546796e-16,5.24456426071083e-15,"TAEGUT_R07640","significant","UP",NA
