"","PGC_SRR11924447","PGC_SRR11924448","PGC_SRR11924449","PGC_SRR11924450","PGC_SRR11924451","PGC_SRR11924452","PGC_SRR11924453","PGC_SRR11924454","Testis_SRR2299402","Testis_SRR2299403","Testis_SRR2299404","Testis_SRR8551567","Testis_SRR8695301","Ovary_SRR8551565","Blood_SRR6761851","Blood_SRR6761852","Blood_SRR6761853","Blood_SRR6761854","Blood_SRR6761855","Blood_SRR6761856","Blood_SRR6761867","Blood_SRR6761868","Blood_SRR6761869","Blood_SRR6761870","Brian_SRR3208120","Brian_SRR3208121","Brian_SRR3208122","Muscle_SRR8551561","Muscle_SRR8695298","Spleen_SRR5001848","Spleen_SRR5001850","Spleen_SRR5001851"
"TAEGUT_R18109",14.5126367162986,8.65614276928754,41.583274184814,7.98382116439607,8.71654716767956,24.5022293686889,9.54881066975477,5.70743334347888,0,0,4.57305460470384,1.58649462028977,1.58649462028977,1.53210578348461,21.1970981383865,20.1017843931758,35.4203642519805,24.4240651239661,46.9944301645248,30.2901339805763,25.6576031221799,24.842659716496,23.5281823641056,48.5879019428649,0,0,0,0,0,1.64762820418182,1.69824320286019,1.80188387149684
"TAEGUT_R13031",2.63866122114521,6.49210707696565,11.8809354813754,1.40890961724636,5.22992830060774,1.44130760992288,0,3.17079630193271,0,0,1.71489547676394,19.8311827536222,19.8311827536222,87.3300296586227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.11907051045456,0,0
"TAEGUT_R01683",9.89497957929452,4.32807138464377,28.2172217682667,3.75709231265697,8.13544402316759,5.7652304396915,5.37120600173706,0,34.9890439115429,26.7900323190672,17.7205865932274,25.7805375797088,25.7805375797088,1.53210578348461,0,0,0,0,0,0,0,0,0,0,1.82953724909336,4.34031832244214,4.14953368504309,0,0,0,0.849121601430093,0
"TAEGUT_R03426",5.93698774757671,3.60672615386981,19.3065201572351,1.87854615632849,1.16220628902394,2.16196141488431,0,0,1.66614494816871,0,0,0.396623655072443,0.396623655072443,0,10.5985490691932,11.4867339389576,4.16710167670359,9.15902442148727,14.685759426414,11.014594174755,11.6625468737181,6.210664929124,7.84272745470188,31.4392306689126,0,0,0,0,0,0,0,0
"TAEGUT_R01476",7.91598366343562,0,31.1874556386105,3.28745577357485,2.32441257804788,3.60326902480719,2.38720266743869,3.17079630193271,2.49921742225307,1.30683084483255,3.42979095352788,5.55273117101421,5.55273117101421,3.06421156696922,4.2394196276773,0,0,3.05300814049576,2.9371518852828,5.50729708737752,0,0,3.92136372735094,0,0,0,0,0,0,0,0.849121601430093,13.5141290362263
"TAEGUT_R12182",8.57564896872192,8.65614276928754,53.4642096661895,7.04454808623182,7.55434087865562,7.20653804961438,4.77440533487739,3.80495556231925,0.833072474084356,1.30683084483255,2.8581591279399,4.36286020579688,4.36286020579688,0.766052891742304,0,0,0,0,0,2.75364854368876,0,0,0,0,0,0.868063664488428,1.03738342126077,10.2724305721242,10.2717991701879,0,6.3684120107257,0
"TAEGUT_R14050",7.25631835814932,4.32807138464377,11.8809354813754,1.87854615632849,1.16220628902394,3.60326902480719,1.79040200057902,0,0.833072474084356,0.653415422416273,0.57163182558798,0.793247310144886,0.793247310144886,1.91513222935576,2.11970981383865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TAEGUT_R17235",10.5546448845808,7.93479753851358,20.791637092407,0.939273078164243,4.0677220115838,3.60326902480719,3.58080400115804,4.4391148227058,0.833072474084356,2.61366168966509,5.14468643029182,1.58649462028977,1.58649462028977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TAEGUT_R05090",5.93698774757671,6.49210707696565,44.5535080551579,1.87854615632849,8.13544402316759,2.16196141488431,8.35520933603543,0.634159260386542,2.49921742225307,1.30683084483255,2.28652730235192,0.793247310144886,0.793247310144886,0.766052891742304,0,0,45.8381184437395,0,0,0,83.9703374907706,0,0,74.3109088537934,0,0.868063664488428,0,0,0,0,0,0
"TAEGUT_R06878",7.25631835814932,7.21345230773962,89.1070161103158,1.87854615632849,33.1228792371823,12.9717684893059,8.9520100028951,3.17079630193271,19.9937393780245,5.22732337933018,16.5773229420514,5.94935482608665,5.94935482608665,1.14907933761346,0,0,6.25065251505539,6.10601628099151,0,0,6.99752812423088,2.07022164304133,0,17.1486712739523,0,1.73612732897686,1.03738342126077,0,0,0,0,0.45047096787421
